trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,timepoint,travel_time_sec,distance_m,speed_kmph,hour,minute,stop_lat,stop_lon,stop_name,arrival_sec,next_arrival_sec,hour_of_day,service_id,direction_id,traffic_label
3149,0 days 10:28:39,0 days 10:28:59,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,10,28,28.643925,77.188416,Karol Bagh,37719.0,37857.0,10.0,weekday,,Light
3150,0 days 10:34:05,0 days 10:34:25,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,10,34,28.643925,77.188416,Karol Bagh,38045.0,38183.0,10.0,weekday,,Light
3151,0 days 10:39:31,0 days 10:39:51,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,10,39,28.643925,77.188416,Karol Bagh,38371.0,38509.0,10.0,weekday,,Light
3152,0 days 10:44:57,0 days 10:45:17,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,10,45,28.643925,77.188416,Karol Bagh,38697.0,38835.0,10.0,weekday,,Light
3153,0 days 10:50:23,0 days 10:50:43,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,10,50,28.643925,77.188416,Karol Bagh,39023.0,39161.0,10.0,weekday,,Light
3154,0 days 10:55:49,0 days 10:56:09,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,10,56,28.643925,77.188416,Karol Bagh,39349.0,39487.0,10.0,weekday,,Light
3155,0 days 11:01:15,0 days 11:01:35,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,11,1,28.643925,77.188416,Karol Bagh,39675.0,39813.0,11.0,weekday,,Light
3156,0 days 11:06:41,0 days 11:07:01,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,11,7,28.643925,77.188416,Karol Bagh,40001.0,40139.0,11.0,weekday,,Light
3157,0 days 11:12:07,0 days 11:12:27,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,11,12,28.643925,77.188416,Karol Bagh,40327.0,40465.0,11.0,weekday,,Light
3158,0 days 11:17:33,0 days 11:17:53,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,11,17,28.643925,77.188416,Karol Bagh,40653.0,40791.0,11.0,weekday,,Light
3159,0 days 11:22:59,0 days 11:23:19,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,11,23,28.643925,77.188416,Karol Bagh,40979.0,41117.0,11.0,weekday,,Light
3160,0 days 11:28:25,0 days 11:28:45,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,11,28,28.643925,77.188416,Karol Bagh,41305.0,41443.0,11.0,weekday,,Light
3161,0 days 11:33:51,0 days 11:34:11,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,11,34,28.643925,77.188416,Karol Bagh,41631.0,41769.0,11.0,weekday,,Light
3162,0 days 11:39:17,0 days 11:39:37,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,11,39,28.643925,77.188416,Karol Bagh,41957.0,42095.0,11.0,weekday,,Light
3163,0 days 11:44:43,0 days 11:45:03,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,11,45,28.643925,77.188416,Karol Bagh,42283.0,42421.0,11.0,weekday,,Light
3164,0 days 11:50:09,0 days 11:50:29,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,11,50,28.643925,77.188416,Karol Bagh,42609.0,42747.0,11.0,weekday,,Light
3165,0 days 11:55:35,0 days 11:55:55,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,11,55,28.643925,77.188416,Karol Bagh,42935.0,43073.0,11.0,weekday,,Light
3166,0 days 12:01:01,0 days 12:01:21,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,12,1,28.643925,77.188416,Karol Bagh,43261.0,43399.0,12.0,weekday,,Light
3167,0 days 12:06:27,0 days 12:06:47,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,12,6,28.643925,77.188416,Karol Bagh,43587.0,43725.0,12.0,weekday,,Light
3168,0 days 12:11:53,0 days 12:12:13,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,12,12,28.643925,77.188416,Karol Bagh,43913.0,44051.0,12.0,weekday,,Light
3169,0 days 12:17:19,0 days 12:17:39,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,12,17,28.643925,77.188416,Karol Bagh,44239.0,44377.0,12.0,weekday,,Light
3170,0 days 12:22:45,0 days 12:23:05,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,12,23,28.643925,77.188416,Karol Bagh,44565.0,44703.0,12.0,weekday,,Light
3171,0 days 12:28:11,0 days 12:28:31,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,12,28,28.643925,77.188416,Karol Bagh,44891.0,45029.0,12.0,weekday,,Light
3172,0 days 12:33:37,0 days 12:33:57,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,12,33,28.643925,77.188416,Karol Bagh,45217.0,45355.0,12.0,weekday,,Light
3173,0 days 12:39:03,0 days 12:39:23,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,12,39,28.643925,77.188416,Karol Bagh,45543.0,45681.0,12.0,weekday,,Light
3174,0 days 12:44:29,0 days 12:44:49,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,12,44,28.643925,77.188416,Karol Bagh,45869.0,46007.0,12.0,weekday,,Light
3175,0 days 12:49:55,0 days 12:50:15,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,12,50,28.643925,77.188416,Karol Bagh,46195.0,46333.0,12.0,weekday,,Light
3176,0 days 12:55:21,0 days 12:55:41,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,12,55,28.643925,77.188416,Karol Bagh,46521.0,46659.0,12.0,weekday,,Light
3177,0 days 13:00:47,0 days 13:01:07,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,13,1,28.643925,77.188416,Karol Bagh,46847.0,46985.0,13.0,weekday,,Light
3178,0 days 13:06:39,0 days 13:06:59,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,13,6,28.643925,77.188416,Karol Bagh,47199.0,47337.0,13.0,weekday,,Light
3179,0 days 13:12:31,0 days 13:12:51,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,13,12,28.643925,77.188416,Karol Bagh,47551.0,47689.0,13.0,weekday,,Light
3180,0 days 13:18:23,0 days 13:18:43,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,13,18,28.643925,77.188416,Karol Bagh,47903.0,48041.0,13.0,weekday,,Light
3181,0 days 13:24:15,0 days 13:24:35,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,13,24,28.643925,77.188416,Karol Bagh,48255.0,48393.0,13.0,weekday,,Light
3182,0 days 13:30:07,0 days 13:30:27,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,13,30,28.643925,77.188416,Karol Bagh,48607.0,48745.0,13.0,weekday,,Light
3183,0 days 13:35:59,0 days 13:36:19,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,13,36,28.643925,77.188416,Karol Bagh,48959.0,49097.0,13.0,weekday,,Light
3184,0 days 13:41:51,0 days 13:42:11,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,13,42,28.643925,77.188416,Karol Bagh,49311.0,49449.0,13.0,weekday,,Light
3185,0 days 13:47:43,0 days 13:48:03,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,13,48,28.643925,77.188416,Karol Bagh,49663.0,49801.0,13.0,weekday,,Light
3186,0 days 13:53:35,0 days 13:53:55,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,13,53,28.643925,77.188416,Karol Bagh,50015.0,50153.0,13.0,weekday,,Light
3187,0 days 13:59:27,0 days 13:59:47,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,13,59,28.643925,77.188416,Karol Bagh,50367.0,50505.0,13.0,weekday,,Light
3188,0 days 14:05:19,0 days 14:05:39,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,14,5,28.643925,77.188416,Karol Bagh,50719.0,50857.0,14.0,weekday,,Light
3189,0 days 14:11:11,0 days 14:11:31,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,14,11,28.643925,77.188416,Karol Bagh,51071.0,51209.0,14.0,weekday,,Light
3190,0 days 14:17:03,0 days 14:17:23,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,14,17,28.643925,77.188416,Karol Bagh,51423.0,51561.0,14.0,weekday,,Light
3191,0 days 14:22:55,0 days 14:23:15,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,14,23,28.643925,77.188416,Karol Bagh,51775.0,51913.0,14.0,weekday,,Light
3192,0 days 14:28:47,0 days 14:29:07,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,14,29,28.643925,77.188416,Karol Bagh,52127.0,52265.0,14.0,weekday,,Light
3193,0 days 14:34:39,0 days 14:34:59,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,14,34,28.643925,77.188416,Karol Bagh,52479.0,52617.0,14.0,weekday,,Light
3194,0 days 14:40:31,0 days 14:40:51,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,14,40,28.643925,77.188416,Karol Bagh,52831.0,52969.0,14.0,weekday,,Light
3195,0 days 14:46:23,0 days 14:46:43,96,25,27725.34,1,138.0,367.7720000000008,66.0800159712519,14,46,28.643925,77.188416,Karol Bagh,53183.0,53321.0,14.0,weekday,,Light
